first Name,last Name,age,english,overseas_employment,australia_employment,qualifications,australia_study,specialist_qualification,credentialled,study_regional,partner,professional_year,visa
Dede,Liebermann,0,3,2,3,4,1,1,1,1,1,1,1
Nataline,Bord,1,1,1,1,3,1,0,1,1,3,0,0
Leanna,Beniamino,4,1,0,2,4,0,0,1,1,2,1,1
Audrie,Jobi,0,1,3,0,1,0,0,1,1,3,1,0
Carly,Stanwood,1,0,3,3,1,0,1,1,0,0,0,1
Jacenta,Junie,3,1,3,4,4,1,0,1,0,3,0,0
Elka,Schlosser,2,0,1,4,0,0,0,0,0,2,0,3
Marjie,Abbot,3,1,1,2,2,0,1,0,1,0,1,3
Marline,Raimondo,1,0,1,1,1,0,0,0,1,0,0,2
Yolane,Leary,4,3,1,3,1,1,1,1,1,1,0,2
Selma,Fredi,0,1,0,4,3,1,0,0,1,0,1,2
Betta,Thar,2,2,3,3,0,1,1,0,0,2,0,3
Alyssa,Yoko,0,1,2,2,4,0,1,1,1,1,0,2
Cindelyn,Glenden,1,1,2,1,1,1,0,1,1,1,1,1
Ann-Marie,Jary,0,1,0,3,4,1,1,0,0,2,0,1
Shirlee,Iphlgenia,3,0,2,2,3,0,1,1,1,3,1,3
Trudie,Dannye,4,0,1,0,2,0,0,0,1,2,0,2
Consuela,Nester,1,1,3,3,2,1,0,0,1,0,1,0
Carlie,Nea,4,1,1,4,0,0,1,0,1,2,1,3
Adele,Diogenes,1,2,1,0,4,1,1,1,0,1,0,1
Therine,Torray,2,0,0,3,1,1,1,1,0,3,0,1
Ricky,Dearborn,3,0,3,4,4,0,1,0,0,2,0,3
Lila,Ivens,1,1,3,2,1,1,1,0,1,3,1,1
Catrina,Chick,1,0,0,1,3,0,0,0,1,2,0,1
Paulita,Alexandr,0,3,0,0,3,0,0,1,1,0,0,1
Lynea,Madaih,0,3,2,2,0,1,1,0,1,3,1,1
Alia,Chesna,2,2,0,3,1,1,1,0,1,1,1,3
Kylynn,Odell,3,0,1,0,0,1,0,0,1,3,1,2
Larine,Ezar,3,1,2,1,1,1,0,0,1,2,0,3
Jordan,Shelba,3,0,0,2,4,0,0,0,0,2,1,2
Edee,Sholley,2,2,3,0,3,1,1,0,1,3,1,3
Barbara,Chrystel,2,2,1,1,1,1,0,1,0,1,0,2
Wynne,Niccolo,1,2,1,1,4,0,1,0,1,2,0,1
Madelle,Palocz,4,0,2,3,3,0,0,0,1,1,0,0
Gui,Neva,4,0,2,4,2,0,1,1,1,1,1,0
Raf,Federica,3,3,2,4,3,1,0,1,1,1,1,2
Tori,Urias,2,3,1,0,2,1,0,0,1,3,1,2
Valeda,Boycey,4,0,2,1,1,0,0,0,1,0,0,2
Rori,Granoff,2,0,3,0,2,1,0,0,1,3,0,3
Tybie,Phi,2,1,1,2,0,0,1,1,0,1,1,3
Isa,Lubin,3,1,2,4,3,1,1,0,1,0,1,0
Ketti,Giule,1,0,0,4,2,0,1,1,1,2,1,0
Christian,Meter,4,0,3,3,4,1,1,1,1,1,1,0
Sallie,Thornburg,1,2,2,3,1,1,0,0,1,3,1,0
Natka,Krystle,4,3,0,3,2,0,1,0,1,1,1,1
Jasmina,Hessler,3,0,3,0,1,0,0,1,1,3,0,2
Miquela,Vins,1,3,1,0,1,0,0,1,1,0,0,2
Brooks,Jerold,1,1,3,2,0,1,1,0,1,3,1,2
Gwyneth,Chabot,2,0,0,1,3,0,0,1,1,1,0,1
Gui,Jagir,1,1,2,1,1,1,1,0,0,3,0,3
Leontine,Othilia,2,0,3,2,4,0,0,1,1,1,0,3
Emilia,Genna,3,3,2,3,0,1,0,1,0,0,1,2
Jerry,Kannry,2,1,1,2,2,1,0,0,1,0,0,1
Misha,Aprile,0,3,3,1,0,1,1,0,0,0,1,2
Jasmina,Kelula,4,2,3,3,4,1,0,1,0,2,1,3
Bobinette,Jorgan,0,1,0,2,2,1,0,0,1,0,0,1
Violet,Eiser,4,0,0,3,0,0,0,0,1,1,0,3
Vonny,Felecia,4,3,3,4,1,0,0,1,1,2,0,1
Blinni,Carmena,4,0,3,4,3,0,1,1,1,2,0,2
Harmonia,Ammann,2,3,3,0,2,1,1,0,0,1,0,0
Susan,Macey,3,0,3,4,0,1,1,0,0,2,1,1
Ilse,Toni,2,1,0,1,4,1,1,1,1,0,0,3
Madeleine,Cutlerr,1,3,0,0,0,0,0,1,0,0,1,3
Cyndie,Harday,1,3,0,0,1,0,1,0,1,1,0,2
Shandie,Verger,3,3,3,2,0,0,0,0,1,2,1,2
Chrystel,Bakerman,2,0,1,0,4,0,1,0,1,2,0,0
Neila,Shuler,0,0,3,0,0,1,1,0,0,3,1,1
Amelia,Silvan,3,1,2,2,0,0,0,0,1,3,1,3
Oona,Ader,2,1,3,0,1,1,0,1,1,0,1,3
Nyssa,Verger,2,1,1,4,0,0,0,0,1,2,1,0
Josephine,Mendez,3,3,2,2,4,0,1,0,1,0,1,1
Magdalena,Hunfredo,3,3,1,4,2,0,0,0,0,2,0,1
Rani,Cullin,0,3,3,3,0,0,1,1,0,1,0,0
Leontine,Libna,0,3,1,0,4,1,1,1,1,3,1,2
Correy,Fontana,1,2,1,3,3,1,0,1,0,3,0,3
Jeanna,Naor,1,1,0,2,1,1,1,1,0,2,1,2
Deirdre,Merna,4,3,2,4,2,1,1,1,1,3,1,0
Valli,Craggie,0,1,1,2,4,0,0,0,0,0,1,0
Averyl,Ciro,1,0,0,2,3,0,0,0,0,3,1,3
Phedra,Idelia,0,3,1,0,1,0,1,1,0,3,1,1
Teddie,Engdahl,2,1,2,3,0,0,1,0,1,3,1,2
Hollie,Gaal,1,1,2,3,4,1,0,1,0,3,1,0
Dione,Dermott,0,1,2,1,4,0,1,0,0,2,0,3
Jenda,Thunell,3,2,3,4,3,0,1,1,1,0,0,2
Ninnetta,Gilbertson,1,1,3,1,1,0,1,0,1,2,1,3
Rosanne,Grayce,3,0,2,3,4,0,1,1,1,0,1,1
Myrtice,Read,0,2,2,1,0,0,0,0,1,0,1,1
Xylina,Vernier,1,1,1,2,3,1,0,0,1,2,0,1
Meghann,Rheingold,3,2,1,2,0,1,1,1,0,1,0,0
Emylee,Keelia,0,2,2,3,4,1,1,0,0,3,1,2
Caressa,Madox,1,3,1,0,3,1,0,0,0,3,0,3
Beth,Kylander,3,1,2,2,3,0,0,0,0,0,0,2
Edith,Nelsen,1,1,2,4,4,0,1,1,1,2,0,1
Joane,Mehalek,0,0,0,3,4,1,1,0,0,2,1,0
Michaelina,Jena,0,2,2,3,1,1,1,0,1,1,1,2
Cam,Rosalba,1,2,1,0,1,1,0,0,0,0,1,1
Gerrie,Ehrman,3,1,3,2,4,1,1,1,0,0,1,1
Rubie,Dosia,2,0,3,3,2,1,0,0,1,1,1,3
Fawne,Magnolia,0,1,0,2,1,1,1,0,1,0,1,0
Doralynne,Beniamino,4,2,3,2,0,1,1,1,1,2,1,3
Donnie,Hessler,1,1,0,1,4,1,0,1,0,1,0,1
Marika,Susannah,0,3,2,0,4,1,0,0,1,1,0,1
Valeda,Neva,2,2,3,2,3,1,1,0,0,0,0,3
Leona,Stuart,3,3,2,0,2,0,0,0,0,1,1,1
Gisela,Lubin,4,2,2,4,4,0,0,1,1,2,0,0
Steffane,Holtz,3,2,1,2,2,0,0,0,1,2,1,2
Raquela,Thomasina,0,2,3,3,2,0,0,0,0,3,1,2
Raf,Grimbly,3,0,0,4,3,0,1,0,0,1,1,0
Luci,Delila,2,2,3,1,0,1,1,1,1,1,1,3
Romona,Vharat,4,1,2,3,2,1,0,1,0,0,1,1
Gabi,Billye,3,0,1,2,0,0,0,0,1,2,0,1
Aubrie,Ovid,4,1,1,0,4,1,1,1,0,1,1,0
Celisse,Deny,4,0,0,3,0,1,0,1,0,3,1,0
Viki,Lenny,0,2,3,0,0,0,1,1,0,3,1,3
Gusty,Dalli,2,0,0,2,0,0,1,1,1,0,1,2
Karolina,Lubin,0,1,0,3,2,1,0,0,1,0,0,3
Kary,Lail,4,0,1,3,0,0,0,0,1,0,0,0
Pierette,Ricki,3,1,2,2,4,0,1,0,0,3,1,1
Sue,Poppy,0,3,3,2,2,1,0,0,0,2,1,1
Mildrid,Melony,4,2,0,3,4,1,1,0,0,2,0,1
Pierette,Arley,1,2,3,2,1,1,0,1,1,0,0,0
Brietta,Cleavland,4,2,1,0,1,0,1,1,0,1,1,1
Dawn,Moina,4,0,3,0,2,1,1,1,1,0,1,1
Raf,Aurelio,1,3,3,0,3,1,0,1,0,0,1,1
Florie,Leler,0,0,0,3,4,0,1,0,0,2,1,3
Raina,Aida,0,0,2,1,0,1,1,0,0,0,1,3
Fanchon,Raffo,1,0,2,2,3,1,0,1,0,0,0,2
Elise,Fairweather,2,1,2,4,4,1,1,1,0,3,0,3
Myriam,Thunell,2,0,0,4,4,0,1,1,0,1,0,2
Olwen,Wattenberg,0,1,0,2,4,1,0,0,1,2,0,0
Gaylene,Lane,1,0,0,4,4,1,1,0,1,1,1,3
Gilda,Loleta,4,1,0,4,1,1,0,1,1,3,1,2
Stacey,Pettiford,3,2,2,3,4,1,0,1,1,3,1,2
Nonnah,Creamer,1,2,2,3,4,1,0,1,1,3,1,2
Evaleen,Bouchard,2,3,2,2,3,1,1,0,1,1,0,1
Gianina,Chauncey,3,1,1,4,1,0,0,0,0,2,1,2
Gilda,Trinetta,1,1,1,3,1,1,0,1,1,0,1,1
Roslyn,Pyle,3,3,0,0,4,0,0,1,1,0,0,1
Allyce,Birdella,4,1,3,0,3,0,1,0,1,0,0,3
Krystle,Anis,4,0,0,4,2,1,1,0,1,3,1,3
Veda,Read,1,0,3,2,2,0,1,1,1,2,1,1
Valera,Phyllis,2,1,0,4,2,0,0,0,1,2,1,3
Bertine,Miru,0,1,1,3,0,1,0,0,1,2,1,3
Lilith,Papageno,3,1,2,1,2,0,1,0,0,3,0,0
Cassondra,Ventre,2,1,2,2,0,1,1,1,0,1,1,2
Bernardine,Pitt,2,0,1,2,0,1,1,0,1,3,1,3
Cissiee,Abbot,3,1,2,3,3,1,0,0,0,2,1,2
Merrie,Secrest,2,1,3,3,3,0,1,0,1,3,0,1
Dorice,Meli,4,1,0,3,3,1,1,1,0,1,0,3
Kathi,Ader,2,1,1,3,3,1,1,0,1,2,0,3
Dorene,Chrystel,4,3,3,1,0,0,1,1,0,2,0,0
Evaleen,Dunkin,3,2,3,1,1,1,0,0,0,3,1,2
Bernie,Fillbert,1,0,1,0,3,1,1,0,1,0,0,3
Lorie,Fink,2,3,2,2,4,0,0,0,0,0,1,0
Lynnea,Zola,1,1,3,0,3,0,1,1,0,0,1,1
Ginnie,Deegan,0,1,3,1,2,0,1,1,1,3,0,2
Alex,Drisko,3,3,2,3,3,1,1,1,1,3,1,3
Aurelie,Love,3,0,0,1,2,1,0,1,1,0,0,2
Hollie,Hourigan,4,1,1,4,3,0,1,0,0,1,0,0
Christian,Kesley,3,2,1,4,3,1,1,0,0,1,0,2
Ethel,Tatianas,0,0,0,4,4,1,1,0,1,3,0,2
Perry,Elbertina,4,3,1,3,1,0,1,0,0,1,1,2
Brietta,Shama,0,2,3,0,3,1,1,1,1,2,1,3
Veda,Wandie,0,2,3,0,3,0,0,1,0,3,1,1
Linet,Karylin,4,3,3,1,0,1,0,0,1,2,0,0
Briney,Behre,3,2,3,3,2,0,1,0,0,2,0,0
Nikki,Maurine,3,1,0,1,0,1,1,1,1,0,1,1
Chastity,Darbie,3,1,1,4,1,0,0,1,0,2,1,2
Marguerite,Izaak,2,3,0,3,1,0,0,0,1,1,0,1
Marjie,Sperling,2,2,1,0,4,0,1,1,0,0,1,2
Mildrid,Rona,3,0,0,4,1,0,1,0,1,3,0,1
Fanny,Germann,2,0,1,2,4,1,0,1,0,2,1,3
Glenda,Bouchard,0,2,1,0,1,0,1,1,0,3,0,0
Marsiella,Simmonds,4,3,2,2,1,0,0,0,0,0,0,0
Amelia,Marsden,3,2,1,4,3,0,1,0,1,2,0,2
Kamilah,Phi,0,2,3,4,1,1,0,1,0,2,1,2
Meghann,Adlare,2,3,1,1,2,1,0,1,1,2,0,0
Lorne,Whittaker,0,3,3,3,4,0,1,0,1,1,0,0
Laure,Gino,2,0,3,1,2,1,1,1,1,0,0,1
Kalina,Shama,3,2,1,2,1,1,1,1,0,2,0,3
Marinna,Hylan,0,0,2,1,4,1,1,1,1,3,1,0
Gwenneth,Verger,1,3,1,3,2,1,0,1,0,3,0,0
Georgetta,Holbrook,3,1,0,1,4,1,1,1,1,0,0,0
Nikki,Kronfeld,3,0,1,4,4,1,0,1,1,1,0,2
Anica,Melony,4,0,3,3,4,1,0,0,1,1,1,2
Brena,Honoria,3,1,2,4,3,0,1,0,0,0,1,1
Wendi,Leary,2,1,3,3,3,1,0,1,1,0,0,3
Winifred,Argus,1,1,2,4,1,1,0,0,0,0,1,0
Tina,Waite,2,3,1,1,4,1,0,0,0,1,1,3
Tani,Suanne,0,3,2,0,1,0,0,1,0,3,0,2
Netty,Tacye,1,3,1,4,4,0,1,1,1,1,0,0
Bobinette,Winnick,3,3,2,1,4,0,1,1,1,2,1,0
Frank,Kauppi,0,0,3,1,2,0,0,0,1,0,0,3
Mathilda,Ventre,3,0,2,2,3,0,1,0,0,1,1,1
Ruthe,Melan,2,3,0,1,2,0,1,1,1,3,0,3
Raf,Lea,4,2,2,1,4,0,1,1,1,2,0,1
Leanna,Raychel,1,2,1,3,2,0,0,0,0,2,1,3
Leanna,Wattenberg,4,0,1,3,1,0,1,1,1,3,1,0
Dianemarie,Fiann,3,0,0,4,4,1,1,1,1,3,0,2
Brietta,Corilla,4,3,0,1,2,0,0,0,1,0,0,0
Tilly,Simmonds,2,2,3,4,4,1,1,0,0,2,0,0
Eve,Quent,0,0,2,3,3,1,0,0,0,2,0,1
Jeanna,Himelman,2,0,1,0,1,1,1,1,0,0,1,3
Delilah,Genna,4,1,3,0,4,1,1,1,0,2,1,1
Corene,Destinee,0,0,1,4,3,0,0,1,1,1,1,0
Tera,Allare,0,1,0,0,4,0,0,0,1,0,1,0
Alexine,Behre,2,2,2,2,0,0,1,1,0,0,0,2
Mallory,Christine,1,1,1,4,4,1,0,1,1,0,1,0
Lynde,Dorothy,1,3,1,3,1,0,1,1,0,3,0,0
Ida,Bashemeth,0,0,0,2,2,1,1,1,0,0,0,0
Michaelina,Ioab,2,3,2,4,2,1,1,0,0,2,0,0
Sindee,Ivens,3,3,2,4,3,1,1,0,1,1,0,3
Evaleen,Bevin,1,3,1,2,4,0,1,1,0,2,1,2
Danika,Maisey,1,0,0,2,2,0,0,0,0,2,1,3
Melanie,Heisel,3,2,2,0,1,1,1,0,1,0,0,1
Jordan,Hutchison,2,1,3,3,0,1,0,0,0,1,1,3
Karina,Quent,2,2,2,2,4,1,0,1,1,0,1,3
Jsandye,Gombach,4,1,3,0,2,1,1,0,0,2,1,0
Xylina,Gregrory,2,2,0,3,0,0,1,0,0,1,1,3
Kamilah,Elvyn,2,0,3,3,4,0,0,1,1,1,1,1
Alejandra,Bandeen,2,3,2,0,2,0,0,0,0,2,0,0
Gwenneth,Hermes,2,3,1,0,0,1,0,1,0,0,1,3
Harrietta,Myrilla,0,1,2,0,0,0,0,0,0,0,0,3
Hope,Juan,2,2,1,4,3,1,1,1,0,2,1,3
Ivett,Maurine,2,0,2,2,1,0,1,0,1,1,1,3
Yvonne,Hathaway,3,0,3,1,1,0,0,0,0,1,1,1
Mahalia,Sandye,0,1,2,1,1,1,1,0,1,3,1,3
Adriana,Colleen,2,0,1,3,3,0,1,1,1,0,1,1
Lacie,Bashemeth,2,0,0,3,3,1,1,1,0,0,0,2
Penelopa,Ashely,1,2,3,0,0,0,0,1,0,1,0,0
Donetta,O'Rourke,3,2,0,1,2,1,1,0,1,3,0,3
Anica,Arvo,0,3,2,0,4,1,0,1,1,2,1,2
Gilda,Albertine,3,2,1,3,2,0,0,0,1,2,0,2
Monika,Leffen,0,3,0,3,0,0,1,1,0,2,0,0
Sharai,Marisa,4,0,3,0,4,0,0,1,1,0,1,1
Margette,Winthorpe,2,1,3,3,1,1,1,1,1,0,1,2
Gavrielle,Reinke,2,0,3,1,0,0,0,1,0,3,0,3
Gianina,Ventre,0,0,1,4,2,0,1,0,0,0,0,0
Angelique,Morgun,2,2,1,0,1,1,1,1,0,0,1,3
Heddie,Goode,1,0,3,3,4,0,1,0,0,1,0,0
Tera,Pierette,1,2,1,3,0,1,1,1,1,3,1,2
Nita,Flita,2,3,3,1,4,1,0,0,1,3,1,1
Chloris,Donoghue,1,1,3,4,1,1,1,0,1,1,0,3
Blinni,Wilona,2,0,3,0,2,0,1,1,1,3,1,3
Renie,Amethist,0,3,3,1,1,0,0,1,0,0,0,2
Clementine,Lauraine,3,0,0,0,4,1,0,1,1,0,0,0
Cissiee,Weinreb,0,1,1,0,4,0,0,0,1,2,0,0
Joceline,Adrienne,2,0,2,2,4,1,1,0,0,2,0,3
Corry,Means,3,0,2,1,0,0,1,0,1,1,0,2
Lila,Malvino,1,3,2,4,0,1,0,1,0,3,0,2
Pearline,Gibbeon,1,0,0,1,1,1,0,0,0,1,0,1
Sabina,Juan,2,0,2,1,2,0,0,0,1,2,1,1
Vanessa,Goldina,1,2,3,3,4,0,0,0,0,3,0,3
Keelia,Matthew,1,1,2,3,4,0,1,1,0,0,1,1
Kaja,Ammann,3,2,2,0,4,1,0,0,0,1,1,0
Clementine,Miru,1,2,3,0,0,0,1,0,1,1,1,1
Emylee,Amadas,3,0,2,3,0,0,1,0,1,1,0,0
Maud,Tomasina,4,2,3,0,4,0,0,1,1,0,0,0
Sibella,Payson,4,0,0,2,1,0,1,0,0,3,0,3
Aurelie,Ball,4,2,0,4,0,1,0,0,1,0,1,2
Kaja,Rolf,2,3,3,1,3,1,1,1,1,2,1,0
Florie,Dorine,2,3,3,1,0,1,1,0,1,1,1,3
Oona,Delp,2,1,3,1,3,1,1,0,1,0,1,1
Wendi,Gombach,0,0,3,3,1,1,0,0,0,1,0,1
Hayley,Shuler,0,2,3,4,0,0,0,1,1,1,1,2
Camile,Hewitt,1,0,3,4,3,0,1,1,1,0,0,1
Alyssa,Thad,4,1,0,1,2,1,0,0,1,1,1,1
Perry,Wolfgram,3,2,0,2,1,1,0,0,0,1,1,1
Gaylene,Natica,3,1,1,1,2,0,0,1,0,2,0,1
Ernesta,Madox,4,1,1,4,2,0,1,1,0,0,0,1
Keelia,Ahab,3,2,0,4,0,1,0,1,1,2,0,3
Lusa,Morehouse,0,2,2,1,0,0,1,1,0,1,1,2
Arabel,Klotz,2,3,0,3,1,1,0,1,0,2,0,3
Reeba,Winnick,4,1,2,4,2,1,1,1,0,2,0,0
Paulita,Aloise,3,1,2,2,3,0,1,0,0,3,1,2
Brianna,O'Neill,4,3,0,3,0,0,1,1,0,3,1,0
Riannon,Gunn,0,1,2,1,0,0,0,0,0,1,0,1
Mamie,Azeria,3,1,1,1,3,1,1,1,0,3,0,2
Misha,Bultman,2,0,0,1,1,0,1,1,1,1,1,0
Melanie,Jenness,1,3,3,3,2,1,0,0,1,2,0,3
Trixi,Maples,0,3,0,1,2,1,1,1,0,0,0,3
Valeda,Francyne,1,3,2,4,2,1,0,0,0,3,0,3
Correy,Haymes,0,3,1,3,1,1,1,0,0,0,1,2
Giustina,Weide,3,1,2,0,2,1,0,0,0,2,1,0
Annaliese,Magdalen,1,1,3,0,2,0,0,0,0,3,0,2
Kaja,Joli,4,0,3,3,2,1,0,1,1,1,1,1
Tersina,Hourigan,0,2,1,4,1,1,0,1,0,1,0,1
Aubrie,Durware,1,1,0,2,3,1,1,1,1,3,0,3
Abbie,Belldas,3,2,3,1,0,0,0,0,1,2,1,3
Misha,Tillford,3,2,1,2,3,0,1,1,1,2,1,2
Carree,Jacobah,3,0,0,2,2,0,0,0,0,0,0,0
Nariko,Vittoria,0,0,1,0,2,1,1,1,0,1,1,2
Jenda,Diann,4,1,0,1,1,0,0,1,0,1,1,0
Kirbee,Helfand,3,1,3,1,1,1,0,0,1,0,1,3
Katharina,Serilda,4,3,0,0,1,0,1,0,0,0,1,0
Fina,Cleo,3,1,2,2,2,0,1,1,0,2,0,3
Jessy,Jaylene,4,1,2,3,0,1,0,0,0,0,0,3
Tierney,Cherianne,2,2,2,4,4,0,1,1,1,2,1,0
Jacenta,Seligman,0,1,1,4,4,1,0,1,0,1,1,2
Jaime,Bahr,3,0,1,0,4,1,0,0,0,1,1,0
Liana,Buffum,1,3,1,2,1,1,0,1,0,2,1,3
Quintina,Clie,4,0,0,3,0,0,0,0,0,2,0,0
Nananne,Stacy,4,2,3,2,1,0,0,0,0,0,1,3
Linet,Gilbertson,1,0,1,2,0,1,1,0,0,3,0,2
Iseabal,Ummersen,4,2,1,1,4,0,1,0,0,1,1,0
Kelly,Olympium,3,2,2,0,2,1,0,1,1,2,0,1
Julieta,Aldric,1,0,2,1,4,1,0,1,1,3,0,2
Taffy,Tillford,2,2,3,2,3,0,1,0,1,1,0,0
Ashlee,Brian,3,0,0,0,1,1,1,0,0,0,1,2
Ellette,Camden,4,3,2,1,3,0,0,0,1,1,1,3
Donetta,Tyson,2,2,0,2,0,1,1,0,1,0,0,2
Florencia,Johnsson,1,3,2,3,0,1,0,1,0,2,0,3
Diena,Bibi,4,1,1,0,4,1,1,0,1,1,0,3
Harmonia,Muriel,4,1,1,4,0,1,1,1,0,3,1,1
Pollyanna,Hebner,1,0,0,3,4,1,0,1,1,2,1,2
Dominga,Lemuela,0,0,3,3,0,0,1,1,0,0,0,2
Benita,Kunin,1,3,3,1,3,1,1,1,1,0,0,2
Sue,Trace,2,1,2,4,0,1,0,0,0,2,0,3
Sissy,Huggins,4,2,3,2,3,0,0,1,1,0,0,0
Lucille,Francyne,1,2,2,0,0,0,1,0,0,3,0,1
Hannis,Deny,2,2,0,3,0,0,0,1,1,1,0,2
Giustina,Pip,1,2,0,0,0,0,0,0,1,1,0,2
Alia,Cressida,2,1,0,3,1,1,0,0,0,3,1,2
Sindee,Maxi,4,1,2,3,4,1,0,1,1,2,0,2
Lorenza,Kauppi,4,3,1,4,1,0,0,0,0,1,0,0
Lizzie,Kevon,3,0,2,3,0,0,0,0,0,3,1,1
Audrie,Idelia,2,1,2,2,1,1,0,1,1,3,1,1
Cathie,Adore,4,0,0,0,3,0,1,0,1,2,1,1
Kelly,Lenny,0,0,2,2,4,0,1,0,0,1,0,3
Ariela,Muriel,4,2,2,3,3,1,0,0,1,2,1,2
Aurelie,Louanna,1,2,3,3,1,1,1,0,1,0,0,2
Atlanta,McAdams,1,1,3,0,4,1,0,0,0,1,1,1
Jessamyn,Tice,0,2,0,1,2,1,0,0,0,1,0,2
Nataline,Taima,2,2,3,2,4,1,1,1,1,3,0,0
Marika,Sprage,1,1,2,1,3,1,0,0,1,0,0,3
Esmeralda,Wittie,0,2,1,4,4,1,1,0,0,1,1,3
